"ad_table_id","tabla","nombre_tabla","descripcion_tabla","ad_column_id","columna","nombre_columna","etiqueta","descripcion_columna","ayuda_columna","ad_reference_id","tipo_referencia","longitud","es_clave","es_padre","obligatorio","identificador","traducible","actualizable","logica_solo_lectura","valor_por_defecto","callout","ad_reference_value_id","referencia_valor","regla_validacion","codigo_regla_validacion","columna_sql","secuencia"
539,"A_Asset","Activo","Asset used internally or by customers",8059,"IsDepreciated","Depreciar","Depreciar","El activo ha sido depreciado","El activo se utiliza internamente y será depreciado",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8040,"IsDisposed","Disponible","Disponible","El activo esta disponible","El activo no esta utilizado y esta disponible.",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8126,"IsFullyDepreciated","Totalmente Depreciado","Totalmente Depreciado","El activo está totalmente depreciado","The asset costs are fully amortized.",20,"Yes-No",1,"N","N","Y","N","N","N",NULL,"N",NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8042,"IsInPosession","En Posesión","En Posesión","El activo esta en posesión de la organización","Los activos que no están en la posesión están ej. en el sitio de cliente y pueden o no ser poseidos por la compañía.",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8055,"IsOwned","Propio","Propio","El activo es poseido por la organización","El activo puede no estar en la posesión, pero el activo es poseído legalmente por la organización.",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8060,"LifeUseUnits","Vida Uso","Vida Uso","Units of use until the asset is not usable anymore","La vida de uso y el uso real se pueden utilizar para calcular la depreciación",11,"Integer",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8058,"LocationComment","Comentarios de localización","Comentarios de Localización","Comentarios adicionales concernientes a la localización",NULL,10,"String",255,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8038,"Lot","No. Lote","No. Lote","Número de Lote","Indica el número de lote específico del que un producto fue parte.",10,"String",255,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",10007,"M_AttributeSetInstance_ID","Instancia Conjunto de Atributos","Instancia Conjunto de Atributos","Instancia de conjunto de atributos del producto","Valor actual de Instancia del conjunto de atributos del producto",35,"Product Attribute",22,"N","N","Y","N","N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8041,"M_Locator_ID","Ubicación","Ubicación","Ubicación de Almacén","El ID de la ubicación indica en que parte del almacén se localiza el producto",31,"Locator (WH)",22,"N","N","N","N","N","Y",NULL,NULL,"org.idempiere.fa.model.CalloutAsset.location",NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8047,"M_Product_ID","Producto","Producto","Producto; servicio o artículo.","Identifica un artículo que puede ser comprado o vendido es esta organización.",30,"Search",22,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,"M_Product (Trx)","M_Product.IsSummary='N' AND M_Product.IsActive='Y'",NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8061,"Processing","Procesar Ahora","Procesar Ahora",NULL,NULL,20,"Yes-No",1,"N","N","N","N","N","Y",NULL,"N",NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8071,"SerNo","No. de Serie","No. de Serie","Número de serie del producto","El número de serie identifica un producto garantizado; monitoreado. Puede solamente ser usado cuando la cantidad es 1.",10,"String",255,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8072,"Updated","Actualizado","Actualizado","Permite ver si algún registro en especifico esta actualizado","Permite ver si algún registro en especifico esta actualizado",16,"Date+Time",7,"N","N","Y","N","N","N",NULL,"SYSDATE",NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8063,"UpdatedBy","Actualizado por","Actualizado por","User who updated this records","The Updated By field indicates the user who updated this record.",30,"Search",22,"N","N","Y","N","N","N",NULL,NULL,NULL,110,"AD_User",NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8067,"UseLifeMonths","Vida Util - Meses","Vida Util - Meses","Vida útil del activo en Meses",NULL,11,"Integer",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8046,"UseLifeYears","Vida Util - Años","Vida Util - Años","Vida útil del activo en años",NULL,22,"Number",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8069,"UseUnits","Unidades Actualmente Utilizadas","Unidades Actualmente Utilizadas","Unidades actualmente utilizadas en el activo.","Unidades actualmente utilizadas en el activo",11,"Integer",22,"N","N","N","N","N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
